,,Sales Mix Report,,,,,
"PABST BLUE RIBBN 24CN,  Each",$2.19 ,5,$10.95 ,0.00%,$0.00 ,$0.00 ,$10.95 
"PABST BLUE RIBBN 40 GL,  Each",$2.79 ,21,$58.59 ,0.02%,$0.00 ,$0.00 ,$58.59 
"RAINIER 1&6&12 12CN, 12 Pack",$10.99 ,6,$65.94 ,0.02%,$0.00 ,$0.00 ,$65.94 
"RAINIER 18/12 CN, 18 Pack",$16.49 ,12,$197.88 ,0.07%,$0.00 ,$0.00 ,$197.88 
"RAINIER 24 CN,  Each",$2.19 ,10,$21.90 ,0.01%,$0.00 ,$0.00 ,$21.90 
"RAINIER 6/16 CN, 6 Pack",$6.99 ,17,$118.83 ,0.04%,$0.00 ,$0.00 ,$118.83 
"RLLNG RCK 1&6/16CN, 6 Pack",$6.99 ,1,$6.99 ,0.00%,$0.00 ,$0.00 ,$6.99 
"RLLNG RCK 18/12CN, 18 Pack",$12.99 ,2,$25.98 ,0.01%,$0.00 ,$0.00 ,$25.98 
BELOW PREMIUM Subtotal, ,151,$992.39 ,0.35%,$0.00 ,$0.00 ,$992.39 
CIDER/PERRY, , , , , , , 
"ANGRY ORCH CRSP CDR 6/12G, 6 Pack",$9.99 ,4,$39.96 ,0.01%,$0.00 ,$0.00 ,$39.96 
CIDER/PERRY Subtotal, ,4,$39.96 ,0.01%,$0.00 ,$0.00 ,$39.96 
CRAFT, , , , , , , 
"10 BARRL APCLS IPA 6/12GL, 6 Pack",$9.99 ,5,$49.95 ,0.02%,$0.00 ,$0.00 ,$49.95 
"BLU MOON BLGN WHT 6/12 GL, 6 Pack",$9.99 ,10,$99.90 ,0.04%,$0.00 ,$0.00 ,$99.90 
"DSCHTES FRSQZ IPA 12GL, 6 Pack",$11.99 ,5,$59.95 ,0.02%,$0.00 ,$0.00 ,$59.95 
"DSCHTES SEASONAL 6/12 GL, 6 Pack",$9.49 ,1,$9.49 ,0.00%,$0.00 ,$0.00 ,$9.49 
"ELYSIAN IMMORTAL IPA6/12G, 6 Pack",$9.99 ,4,$39.96 ,0.01%,$0.00 ,$0.00 ,$39.96 
"ELYSIAN MANIC IPA 22GL,  Each",$5.49 ,4,$21.96 ,0.01%,$0.00 ,$5.49 ,$16.47 
"ELYSIAN MENS RM RD 6/12G, 6 Pack",$9.99 ,11,$109.89 ,0.04%,$0.00 ,$0.00 ,$109.89 
"ELYSIAN SPACEDUST IPA 22G,  Each",$5.99 ,18,$107.82 ,0.04%,$0.00 ,$0.00 ,$107.82 
"ELYSIAN SPC DST IPA 1&6/12GL, 6 Pack",$13.99 ,10,$139.90 ,0.05%,$0.00 ,$0.00 ,$139.90 
"FULL SAIL SSN LGR 12/11GL, 12 Pack",$13.99 ,1,$13.99 ,0.00%,$0.00 ,$0.00 ,$13.99 
"GORGTOWN BODIHIZAFA 6/12C, 6 Pack",$11.99 ,20,$239.80 ,0.08%,$0.00 ,$0.00 ,$239.80 
"GORGTOWN LUCILLE IPA6/12C, 6 Pack",$11.99 ,18,$215.82 ,0.08%,$0.00 ,$0.00 ,$215.82 
"LAGUNITAS IPA 1&6/12GL, 6 Pack",$10.49 ,3,$31.47 ,0.01%,$0.00 ,$0.00 ,$31.47 
"NINKASI TD IPA 22G,  Each",$4.99 ,2,$9.98 ,0.00%,$0.00 ,$0.00 ,$9.98 
"PYRMD HEFEWEIZEN 6/12 GL, 6 Pack",$9.49 ,5,$47.45 ,0.02%,$0.00 ,$0.00 ,$47.45 
"PYRMD OUTBRST IPA 22G,  Each",$3.99 ,12,$47.88 ,0.02%,$0.00 ,$3.99 ,$43.89 
"PYRMD OUTBST IPA 1&6/12GL, 6 Pack",$9.49 ,23,$218.27 ,0.08%,$0.00 ,$0.00 ,$218.27 
"RDHOOK IPA 1&6&12/12 GL, 6 Pack",$9.99 ,4,$39.96 ,0.01%,$0.00 ,$0.00 ,$39.96 
"SRRA NVDA PL ALE 6/12GL, 6 Pack",$9.99 ,6,$59.94 ,0.02%,$0.00 ,$0.00 ,$59.94 
CRAFT Subtotal, ,162,"$1,563.38 ",0.55%,$0.00 ,$9.48 ,"$1,553.90 "
FAB, , , , , , , 
"BUD LT SLTZR VR PK1&12/12C, 12 Pack",$18.99 ,3,$56.97 ,0.02%,$0.00 ,$0.00 ,$56.97 
"MKES HD LMND 6/11.2 GL, 6 Pack",$9.99 ,4,$39.96 ,0.01%,$0.00 ,$0.00 ,$39.96 
"MKES HDR BLK CH LMND 16C,  Each",$2.69 ,27,$72.63 ,0.03%,$9.79 ,$0.00 ,$62.84 
"MKES HDR CRNLMND 23.5C,  Each",$3.29 ,19,$62.51 ,0.02%,$0.00 ,$0.00 ,$62.51 
"MKES HDR LMND 16CN,  Each",$2.69 ,20,$53.80 ,0.02%,$5.78 ,$0.00 ,$48.02 
"MKES HDR LMND 23.5C,  Each",$3.29 ,34,$111.86 ,0.04%,$0.00 ,$0.00 ,$111.86 
"MKES HDR MNGO PNCH 23.5C,  Each",$3.29 ,18,$59.22 ,0.02%,$0.00 ,$0.00 ,$59.22 
"MKES HDR STRW LMND 16C,  Each",$2.69 ,34,$91.46 ,0.03%,$9.35 ,$0.00 ,$82.11 
"MKES SEASONAL 6/11.2 GL, 6 Pack",$9.99 ,3,$29.97 ,0.01%,$0.00 ,$0.00 ,$29.97 
"SMRNF ICE 24 GL,  Each",$3.29 ,13,$42.77 ,0.02%,$0.00 ,$0.00 ,$42.77 
"TRULY HRD SLTZR BRY 24C,  Each",$2.89 ,25,$72.25 ,0.03%,$0.00 ,$0.00 ,$72.25 
"TRULY HRD SLTZR PNPL 24C,  Each",$2.89 ,56,$161.84 ,0.06%,$0.00 ,$0.00 ,$161.84 
"TWISTED TEA 24CN,  Each",$3.29 ,107,$352.03 ,0.12%,$0.00 ,$0.00 ,$352.03 
"WHT CLW BLK CHRY 1&6/12C, 6 Pack",$10.99 ,16,$175.84 ,0.06%,$0.00 ,$0.00 ,$175.84 
"WHT CLW BLK CHRY 19.2CN,  Each",$2.99 ,34,$101.66 ,0.04%,$0.00 ,$0.00 ,$101.66 
"WHT CLW GRPFRT 1&6/12C, 6 Pack",$10.99 ,5,$54.95 ,0.02%,$0.00 ,$0.00 ,$54.95 
"WHT CLW GRPFRT 19.2CN,  Each",$2.99 ,5,$14.95 ,0.01%,$0.00 ,$0.00 ,$14.95 
"WHT CLW MNG 1&6/12C, 6 Pack",$10.99 ,12,$131.88 ,0.05%,$0.00 ,$0.00 ,$131.88 
"WHT CLW MNGO 19.2CN,  Each",$2.99 ,28,$83.72 ,0.03%,$0.00 ,$0.00 ,$83.72 
"WHT CLW VRTY #2 12/12CN, 12 Pack",$19.99 ,24,$479.76 ,0.17%,$0.00 ,$0.00 ,$479.76 
FAB Subtotal, ,487,"$2,250.03 ",0.79%,$24.92 ,$0.00 ,"$2,225.11 "
IMPORT, , , , , , , 
"CORONA EXTRA 12/12 GL, 12 Pack",$17.99 ,11,$197.89 ,0.07%,$0.00 ,$0.00 ,$197.89 
"CORONA EXTRA 24 CN,  Each",$2.99 ,19,$56.81 ,0.02%,$0.00 ,$0.00 ,$56.81 
"CORONA EXTRA 24 GL,  Each",$2.99 ,12,$35.88 ,0.01%,$0.00 ,$0.00 ,$35.88 
"CORONA EXTRA 6/12 GL, 6 Pack",$9.99 ,15,$149.85 ,0.05%,$0.00 ,$0.00 ,$149.85 
"CORONA FAMILIAR 32GL,  Each",$3.99 ,15,$59.85 ,0.02%,$0.00 ,$0.00 ,$59.85 
"CORONA FAMILIAR 6/12 GL, 6 Pack",$9.99 ,1,$9.99 ,0.00%,$0.00 ,$0.00 ,$9.99 
"CORONA PREMIER 1&12/12GL, 12 Pack",$17.99 ,1,$17.99 ,0.01%,$0.00 ,$0.00 ,$17.99 
"CORONA PREMIER 24CN,  Each",$2.99 ,10,$29.90 ,0.01%,$0.00 ,$0.00 ,$29.90 
"CORONA PREMIER 6/12GL, 6 Pack",$9.99 ,8,$79.92 ,0.03%,$0.00 ,$0.00 ,$79.92 
"FOSTER'S LGR 25.4 CN,  Each",$2.99 ,2,$5.98 ,0.00%,$0.00 ,$0.00 ,$5.98 
"HEINEKEN 12/12 GL, 12 Pack",$17.99 ,8,$143.92 ,0.05%,$0.00 ,$0.00 ,$143.92 
"HEINEKEN 22GL,  Each",$3.29 ,9,$29.61 ,0.01%,$0.00 ,$0.00 ,$29.61 
"HEINEKEN 24 KEG CN,  Each",$3.49 ,15,$52.35 ,0.02%,$0.00 ,$0.00 ,$52.35 
"HEINEKEN 6/12 GL, 6 Pack",$9.49 ,5,$47.45 ,0.02%,$0.00 ,$0.00 ,$47.45 
"MODELO CHELADA 24CN,  Each",$3.49 ,3,$10.47 ,0.00%,$0.00 ,$0.00 ,$10.47 
"MODELO ESPECIAL 1&6&12/12 CN, 12 Pack",$16.99 ,14,$237.86 ,0.08%,$0.00 ,$0.00 ,$237.86 
"MODELO ESPECIAL 1&6&12/12 CN, 6 Pack",$9.99 ,7,$69.93 ,0.02%,$0.00 ,$0.00 ,$69.93 
"MODELO ESPECIAL 12/12 GL, 12 Pack",$17.99 ,7,$125.93 ,0.04%,$0.00 ,$0.00 ,$125.93 
"MODELO ESPECIAL 18/12CN, 18 Pack",$21.99 ,8,$175.92 ,0.06%,$0.00 ,$0.00 ,$175.92 
"MODELO ESPECIAL 18/12GL, 18 Pack",$23.99 ,1,$23.99 ,0.01%,$0.00 ,$0.00 ,$23.99 
"MODELO ESPECIAL 24 CN,  Each",$3.19 ,45,$143.55 ,0.05%,$0.00 ,$0.00 ,$143.55 
"MODELO ESPECIAL 3/24CN , 3 Pack",$8.99 ,7,$62.93 ,0.02%,$0.00 ,$0.00 ,$62.93 
"MODELO ESPECIAL 6/12 GL, 6 Pack",$9.49 ,26,$246.74 ,0.09%,$0.00 ,$0.00 ,$246.74 
"MODELO NEGRA 1&6/12 GL, 6 Pack",$9.49 ,6,$56.94 ,0.02%,$0.00 ,$0.00 ,$56.94 
"MODELO NEGRA 24CN,  Each",$3.19 ,10,$31.90 ,0.01%,$0.00 ,$0.00 ,$31.90 
"PACIFICO 24 CN,  Each",$3.19 ,19,$60.61 ,0.02%,$0.00 ,$0.00 ,$60.61 
"PACIFICO 6/12 GL, 6 Pack",$9.99 ,21,$209.79 ,0.07%,$0.00 ,$0.00 ,$209.79 
"STELLA ARTOIS 1&6/11.2GL, 6 Pack",$9.99 ,6,$59.94 ,0.02%,$0.00 ,$0.00 ,$59.94 
"STELLA ARTOIS 12/11.2GL, 12 Pack",$17.99 ,5,$89.95 ,0.03%,$0.00 ,$0.00 ,$89.95 
IMPORT Subtotal, ,316,"$2,523.84 ",0.89%,$0.00 ,$0.00 ,"$2,523.84 "
MALT, , , , , , , 
"HURRICANE HG 25CN,  Each",$1.99 ,48,$95.52 ,0.03%,$0.00 ,$0.00 ,$95.52 
"MICKEYS 24 CN,  Each",$1.99 ,12,$23.88 ,0.01%,$0.00 ,$0.00 ,$23.88 
"STL RSRV HG LGR 16CN, 6 Pack",$6.49 ,4,$25.96 ,0.01%,$0.00 ,$0.00 ,$25.96 
"STL RSRV HG LGR 24CN,  Each",$1.99 ,28,$55.72 ,0.02%,$0.00 ,$0.00 ,$55.72 
MALT Subtotal, ,92,$201.08 ,0.07%,$0.00 ,$0.00 ,$201.08 
PREMIUM, , , , , , , 
"BUD 1&4&6&24/16 CN, 6 Pack",$7.99 ,16,$127.84 ,0.04%,$0.00 ,$0.00 ,$127.84 
"BUD 1&6&12/12 CN, 12 Pack",$13.99 ,3,$41.97 ,0.01%,$0.00 ,$0.00 ,$41.97 
"BUD 18/12 CN, 18 Pack",$17.99 ,3,$53.97 ,0.02%,$0.00 ,$0.00 ,$53.97 
"BUD 25 CN,  Each",$2.39 ,9,$21.51 ,0.01%,$0.00 ,$0.00 ,$21.51 
"BUD LIGHT 8/16 CN, 8 Pack",$9.99 ,6,$59.94 ,0.02%,$0.00 ,$0.00 ,$59.94 
"BUD LT 1&4&6&24/16CN, 6 Pack",$7.99 ,7,$55.93 ,0.02%,$0.00 ,$0.00 ,$55.93 
"BUD LT 1&6&12/12CN, 12 Pack",$13.99 ,6,$83.94 ,0.03%,$0.00 ,$0.00 ,$83.94 
"BUD LT 1&6&12/12CN, 6 Pack",$7.49 ,7,$52.43 ,0.02%,$0.00 ,$0.00 ,$52.43 
"BUD LT 18/12 CN, 18 Pack",$17.99 ,11,$197.89 ,0.07%,$0.00 ,$0.00 ,$197.89 
"BUD LT 18/12 GL, 18 Pack",$17.99 ,2,$35.98 ,0.01%,$0.00 ,$0.00 ,$35.98 
"BUD LT 25 CN,  Each",$2.39 ,26,$62.14 ,0.02%,$0.00 ,$0.00 ,$62.14 
"BUD LT 3/25CN, 3 Pack",$6.99 ,6,$41.94 ,0.01%,$0.00 ,$0.00 ,$41.94 
"BUD LT 6/12 GL, 6 Pack",$7.49 ,8,$59.92 ,0.02%,$0.00 ,$0.00 ,$59.92 
"COORS BANQUET 1&6&12/12CN, 12 Pack",$12.99 ,5,$64.95 ,0.02%,$0.00 ,$0.00 ,$64.95 
"COORS BANQUET 18/12 CN, 18 Pack",$17.99 ,1,$17.99 ,0.01%,$0.00 ,$0.00 ,$17.99 
"COORS LT 1&6&12/12 CN, 12 Pack",$12.99 ,11,$142.89 ,0.05%,$0.00 ,$0.00 ,$142.89 
"COORS LT 1&9/16 ALUM, 9 Pack",$14.99 ,9,$134.91 ,0.05%,$0.00 ,$0.00 ,$134.91 
"COORS LT 12/12 GL, 12 Pack",$12.99 ,18,$233.82 ,0.08%,$0.00 ,$0.00 ,$233.82 
"COORS LT 18/12 CN, 18 Pack",$17.99 ,4,$71.96 ,0.03%,$0.00 ,$0.00 ,$71.96 
"COORS LT 18/12 GL, 18 Pack",$17.99 ,2,$35.98 ,0.01%,$0.00 ,$0.00 ,$35.98 
"COORS LT 24 CN,  Each",$2.49 ,34,$84.66 ,0.03%,$0.00 ,$0.00 ,$84.66 
"COORS LT 4&6/16 CN, 6 Pack",$7.99 ,25,$199.75 ,0.07%,$0.00 ,$0.00 ,$199.75 
"COORS LT 6/12 GL, 6 Pack",$7.49 ,4,$29.96 ,0.01%,$0.00 ,$0.00 ,$29.96 
"MILLER LT 12/16CN, 12 Pack",$13.99 ,1,$13.99 ,0.00%,$0.00 ,$0.00 ,$13.99 
"MILLER LT 18/12 CN, 18 Pack",$17.99 ,1,$17.99 ,0.01%,$0.00 ,$0.00 ,$17.99 
PREMIUM Subtotal, ,225,"$1,944.25 ",0.68%,$0.00 ,$0.00 ,"$1,944.25 "
WINE, , , , , , , 
"CHAT ST MCHLE CAB 750ML,  Each",$15.99 ,3,$47.97 ,0.02%,$0.00 ,$0.00 ,$47.97 
"COL CREST CAB 750ML,  Each",$10.99 ,3,$32.97 ,0.01%,$0.00 ,$0.00 ,$32.97 
"COL CREST CHARD 750ML GL,  Each",$10.99 ,2,$21.98 ,0.01%,$0.00 ,$0.00 ,$21.98 
"GALLO CHARD 187ML, 4 Pack",$8.49 ,16,$135.84 ,0.05%,$0.00 ,$0.00 ,$135.84 
"GALLO WHT ZIN 187ML, 4 Pack",$8.49 ,11,$93.39 ,0.03%,$0.00 ,$0.00 ,$93.39 
"YLLWTL CHARD 750ML GL,  Each",$9.99 ,6,$59.94 ,0.02%,$0.00 ,$0.00 ,$59.94 
"YLLWTL MERLOT 2003 750ML,  Each",$7.99 ,3,$23.97 ,0.01%,$0.00 ,$0.00 ,$23.97 
"YLLWTL SHIRAZ 750ML GL,  Each",$7.99 ,5,$39.95 ,0.01%,$0.00 ,$0.00 ,$39.95 
WINE Subtotal, ,49,$456.01 ,0.16%,$0.00 ,$0.00 ,$456.01 
ALCOHOLIC BEVERAGES Subtotal, ,"1,597","$10,528.23 ",3.70%,$24.92 ,$9.48 ,"$10,493.83 "
DAIRY BEVERAGES, , , , , , , 
COW MILK (PERISHABLE), , , , , , , 
"DARIGLD CHOC MILK 14OZ,  Each",$1.79 ,48,$85.92 ,0.03%,$0.00 ,$0.00 ,$85.92 
"DARIGLD UP 2% MILK HGA PL,  Each",$3.39 ,13,$44.07 ,0.02%,$0.00 ,$0.00 ,$44.07 
"DARIGLD UP 2% MLK 14PL,  Each",$1.79 ,20,$35.80 ,0.01%,$0.00 ,$0.00 ,$35.80 
"DARIGLD UP HOMO MLK 14PL,  Each",$1.79 ,18,$32.22 ,0.01%,$0.00 ,$0.00 ,$32.22 
"DARIGLD UP WHL MILK HG PL,  Each",$3.49 ,17,$59.33 ,0.02%,$0.00 ,$0.00 ,$59.33 
COW MILK (PERISHABLE) Subtotal, ,116,$257.34 ,0.09%,$0.00 ,$0.00 ,$257.34 
COW MILK (SHELF STABLE), , , , , , , 
"HERSHEY RF CKE CRM SHK12P,  Each",$1.89 ,6,$11.34 ,0.00%,$0.00 ,$0.00 ,$11.34 
"NESQUIK CHOC MLK 14PL,  Each",$2.29 ,24,$54.96 ,0.02%,$0.00 ,$0.00 ,$54.96 
"NESQUIK STRW MLK 14PL,  Each",$2.29 ,30,$68.70 ,0.02%,$0.00 ,$0.00 ,$68.70 
"YOO HOO CHOC 15.5 GL,  Each",$1.59 ,2,$3.18 ,0.00%,$0.00 ,$0.00 ,$3.18 
COW MILK (SHELF STABLE) Subtotal, ,62,$138.18 ,0.05%,$0.00 ,$0.00 ,$138.18 
OTHER DAIRY BEVERAGE (DAIRY), , , , , , , 
"DARIGLD HLF N HLF PNT,  Each",$1.59 ,10,$15.90 ,0.01%,$0.00 ,$0.00 ,$15.90 
OTHER DAIRY BEVERAGE (DAIRY) Subtotal, ,10,$15.90 ,0.01%,$0.00 ,$0.00 ,$15.90 
DAIRY BEVERAGES Subtotal, ,188,$411.42 ,0.14%,$0.00 ,$0.00 ,$411.42 
DISPENSED BEVERAGES, , , , , , , 
CUSTOMER SELF-SERVE (COLD), , , , , , , 
"FOUNTAIN CUP AND ICE ONLY,  Each",$0.30 ,5,$1.50 ,0.00%,$0.00 ,$0.00 ,$1.50 
FTN LRG,$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
FTN MED,$0.79 ,92,$72.68 ,0.03%,$2.17 ,$0.00 ,$70.51 
FTN RFL SML,$1.19 ,8,$9.52 ,0.00%,$0.39 ,$0.00 ,$9.13 
FTN SML,$1.29 ,2,$2.58 ,0.00%,$0.00 ,$0.00 ,$2.58 
FTN XL,$1.79 ,1,$1.79 ,0.00%,$0.00 ,$0.00 ,$1.79 
CUSTOMER SELF-SERVE (COLD) Subtotal, ,112,$94.83 ,0.03%,$2.56 ,$0.00 ,$92.27 
CUSTOMER SELF-SERVE (FROZEN), , , , , , , 
ICEE SML,$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
CUSTOMER SELF-SERVE (FROZEN) Subtotal, ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
CUSTOMER SELF-SERVE (HOT), , , , , , , 
CFE LRG,$1.99 ,55,$109.45 ,0.04%,$1.69 ,$0.00 ,$107.76 
CFE MED,$1.89 ,80,$151.20 ,0.05%,$0.74 ,$0.00 ,$150.46 
CFE RFL LRG,$1.69 ,2,$3.38 ,0.00%,$0.00 ,$0.00 ,$3.38 
CFE RFL MED,$1.59 ,4,$6.36 ,0.00%,$0.00 ,$0.00 ,$6.36 
CFE RFL SML,$1.49 ,21,$31.29 ,0.01%,$0.00 ,$0.00 ,$31.29 
CFE SML,$1.79 ,105,$187.95 ,0.07%,$0.69 ,$0.00 ,$187.26 
CUSTOMER SELF-SERVE (HOT) Subtotal, ,267,$489.63 ,0.17%,$3.12 ,$0.00 ,$486.51 
DISPENSED BEVERAGES Subtotal, ,380,$585.75 ,0.21%,$5.68 ,$0.00 ,$580.07 
PKGD NON-ALCOHOLIC BEVERAGES, , , , , , , 
CARBONATED WATER, , , , , , , 
"SMARTWATER SPARKLING 1L P,  Each",$2.69 ,14,$37.66 ,0.01%,$5.56 ,$0.00 ,$32.10 
CARBONATED WATER Subtotal, ,14,$37.66 ,0.01%,$5.56 ,$0.00 ,$32.10 
COLA, , , , , , , 
"COKE CHERRY 20 PL,  Each",$2.19 ,21,$45.99 ,0.02%,$7.16 ,$0.00 ,$38.83 
"COKE CHERRY ZERO 20 PL,  Each",$2.19 ,12,$26.28 ,0.01%,$4.76 ,$0.00 ,$21.52 
"COKE CHRY VAN ZRO 20PL,  Each",$2.19 ,4,$8.76 ,0.00%,$0.59 ,$0.00 ,$8.17 
"COKE CLASSIC 16CN,  Each",$1.79 ,43,$76.97 ,0.03%,$0.00 ,$0.00 ,$76.97 
"COKE CLASSIC 1L PL,  Each",$2.69 ,35,$94.15 ,0.03%,$0.00 ,$0.00 ,$94.15 
"COKE CLASSIC 20 PL,  Each",$2.19 ,224,$490.56 ,0.17%,$92.20 ,$0.00 ,$398.36 
"COKE DT 16CN,  Each",$1.79 ,5,$8.95 ,0.00%,$0.00 ,$0.00 ,$8.95 
"COKE DT 1L PL,  Each",$2.69 ,20,$53.80 ,0.02%,$0.00 ,$0.00 ,$53.80 
"COKE DT 20 PL,  Each",$2.19 ,70,$153.30 ,0.05%,$32.71 ,$0.00 ,$120.59 
"COKE MEXICAN 12GL,  Each",$1.89 ,34,$64.26 ,0.02%,$0.00 ,$0.00 ,$64.26 
"COKE VAN 20 PL,  Each",$2.19 ,22,$48.18 ,0.02%,$8.91 ,$0.00 ,$39.27 
"COKE ZERO 20PL,  Each",$2.19 ,20,$43.80 ,0.02%,$4.77 ,$0.00 ,$39.03 
"PEPSI 16 CN,  Each",$1.69 ,27,$45.63 ,0.02%,$0.00 ,$0.00 ,$45.63 
"PEPSI 1L PL,  Each",$2.69 ,12,$32.28 ,0.01%,$0.00 ,$0.00 ,$32.28 
"PEPSI 20 PL,  Each",$2.09 ,28,$58.52 ,0.02%,$9.82 ,$0.00 ,$48.70 
"PEPSI DT 1L PL,  Each",$2.69 ,17,$45.73 ,0.02%,$0.00 ,$0.00 ,$45.73 
"PEPSI DT 20 PL,  Each",$2.09 ,34,$71.06 ,0.02%,$13.09 ,$0.00 ,$57.97 
"PEPSI RL SGR 20PL,  Each",$2.09 ,13,$27.17 ,0.01%,$3.81 ,$0.00 ,$23.36 
"PEPSI WILD CHRY 20 PL,  Each",$2.09 ,19,$39.71 ,0.01%,$3.27 ,$0.00 ,$36.44 
COLA Subtotal, ,660,"$1,435.10 ",0.50%,$181.09 ,$0.00 ,"$1,254.01 "
ENERGY DRINK, , , , , , , 
"AMP NRG TALL BOY 16 CN,  Each",$2.69 ,12,$32.28 ,0.01%,$0.00 ,$0.00 ,$32.28 
"ASHOC ACAI BERRY 16CN,  Each",$2.89 ,4,$11.56 ,0.00%,$3.41 ,$0.00 ,$8.15 
"ASHOC FRUIT PUNCH 16CN,  Each",$2.89 ,1,$2.89 ,0.00%,$0.00 ,$0.00 ,$2.89 
"ASHOC SMART ENERGY 16CN,  Each",$2.89 ,2,$5.78 ,0.00%,$1.70 ,$0.00 ,$4.08 
"ASHOC WATERMELON 16CN,  Each",$2.89 ,1,$2.89 ,0.00%,$0.75 ,$0.00 ,$2.14 
"BANG BANGSTER BERRY 16CN,  Each",$2.89 ,12,$34.68 ,0.01%,$5.34 ,$0.00 ,$29.34 
"BANG BLK CHRY VAN 16CN,  Each",$2.89 ,49,$141.61 ,0.05%,$24.72 ,$0.00 ,$116.89 
"BANG BLUE RAZZ 16CN,  Each",$2.89 ,43,$124.27 ,0.04%,$20.77 ,$0.00 ,$103.50 
"BANG CHRY BLADE LMND 16CN,  Each",$2.89 ,24,$69.36 ,0.02%,$8.83 ,$0.00 ,$60.53 
"BANG CITRUS TWIST 16CN,  Each",$2.89 ,16,$46.24 ,0.02%,$10.13 ,$0.00 ,$36.11 
"BANG COTTON CANDY 16CN,  Each",$2.89 ,27,$78.03 ,0.03%,$14.83 ,$0.00 ,$63.20 
"BANG FROSE ROSE 16CN,  Each",$2.89 ,4,$11.56 ,0.00%,$0.75 ,$0.00 ,$10.81 
"BANG GUAVA PEAR 16CN,  Each",$2.89 ,7,$20.23 ,0.01%,$1.71 ,$0.00 ,$18.52 
"BANG LEMON DROP 16CN,  Each",$2.89 ,3,$8.67 ,0.00%,$0.74 ,$0.00 ,$7.93 
"BANG PEACH MANGO 16CN,  Each",$2.89 ,21,$60.69 ,0.02%,$3.20 ,$0.00 ,$57.49 
"BANG PINA COLADA 16CN,  Each",$2.89 ,13,$37.57 ,0.01%,$7.62 ,$0.00 ,$29.95 
"BANG POWER PUNCH 16CN,  Each",$2.89 ,7,$20.23 ,0.01%,$0.74 ,$0.00 ,$19.49 
